16021,2,2016,1516,ÁLGEBRA LINEAR II,6.5,10.0,4.3,0.0,0.0,6.28
16021,2,2016,1999,ATIVIDADES EXTRACURRICULARES 1º ANO/2º PERIODO,0.0,0.0,0.0,0.0,0.0,0.0
16021,2,2016,5057,QUÍMICA II,9.2,7.7,5.7,0.0,0.0,7.08
16426,1,2016,1435,FÍSICA I,8.2,5.2,9.1,0.0,0.0,7.9
16426,1,2016,1514,CÁLCULO I,5.0,5.2,4.0,6.2,7.8,7.0
16426,1,2016,1515,ÁLGEBRA LINEAR I,6.7,5.6,4.2,0.0,0.0,5.18
16426,1,2016,1998,ATIVIDADES EXTRACURRICULARES 1º ANO/1º PERIODO,0.0,0.0,0.0,0.0,0.0,0.0
16426,1,2016,5056,QUÍMICA I,9.7,5.1,7.9,0.0,0.0,7.65
16426,1,2016,9253,INTRODUÇÃO À COMPUTAÇÃO,9.3,10.0,9.6,0.0,0.0,9.63
16426,2,2016,1033,CÁLCULO II,7.3,7.0,4.8,0.0,0.0,5.98
16426,2,2016,1132,DESENHO TÉCNICO BÁSICO,10.0,9.3,8.8,0.0,0.0,9.23
16426,2,2016,1436,FÍSICA II,7.9,7.7,5.6,0.0,0.0,6.7
16426,2,2016,1516,ÁLGEBRA LINEAR II,5.7,4.6,3.5,7.0,7.0,7.0
16426,2,2016,1999,ATIVIDADES EXTRACURRICULARES 1º ANO/2º PERIODO,0.0,0.0,0.0,0.0,0.0,0.0
16426,2,2016,5057,QUÍMICA II,8.4,8.7,4.8,0.0,0.0,6.68
16008,1,2016,1435,FÍSICA I,8.6,7.8,10.0,0.0,0.0,9.1
16008,1,2016,1514,CÁLCULO I,4.1,6.3,6.8,0.0,0.0,6.0
16008,1,2016,1515,ÁLGEBRA LINEAR I,6.6,5.5,7.6,0.0,0.0,6.83
16008,1,2016,1998,ATIVIDADES EXTRACURRICULARES 1º ANO/1º PERIODO,0.0,0.0,0.0,0.0,0.0,0.0
16008,1,2016,5056,QUÍMICA I,8.4,8.2,8.9,0.0,0.0,8.6
16008,1,2016,9253,INTRODUÇÃO À COMPUTAÇÃO,7.8,9.5,9.0,0.0,0.0,8.83
16008,2,2016,1033,CÁLCULO II,4.0,5.7,7.2,0.0,0.0,6.03
16008,2,2016,1132,DESENHO TÉCNICO BÁSICO,10.0,7.4,8.5,0.0,0.0,8.6
16008,2,2016,1436,FÍSICA II,8.5,8.7,9.2,0.0,0.0,8.9
16008,2,2016,1516,ÁLGEBRA LINEAR II,4.6,7.2,4.1,0.0,0.0,5.0
16008,2,2016,1999,ATIVIDADES EXTRACURRICULARES 1º ANO/2º PERIODO,0.0,0.0,0.0,0.0,0.0,0.0
16008,2,2016,5057,QUÍMICA II,8.2,7.9,6.0,0.0,0.0,7.03
